Crypto,Price,Time
Dogecoin,0.1603,2025-11-14 19:44:54.840407
Bitcoin,95467.03,2025-11-14 19:46:02.429850
Ethereum,3131.5,2025-11-14 19:46:02.429850
BNB,909.12,2025-11-14 19:46:02.429850
Solana,139.42,2025-11-14 19:46:02.429850
XRP,2.27,2025-11-14 19:46:02.429850
Dogecoin,0.1603,2025-11-14 19:46:02.429850
Bitcoin,95467.03,2025-11-14 19:47:11.147302
Ethereum,3131.5,2025-11-14 19:47:11.147302
BNB,909.12,2025-11-14 19:47:11.147302
Solana,139.42,2025-11-14 19:47:11.147302
XRP,2.27,2025-11-14 19:47:11.147302
Dogecoin,0.1603,2025-11-14 19:47:11.147302
Bitcoin,95348.29,2025-11-14 19:48:19.270466
Ethereum,3130.5,2025-11-14 19:48:19.270466
BNB,908.27,2025-11-14 19:48:19.270466
Solana,139.08,2025-11-14 19:48:19.270466
XRP,2.27,2025-11-14 19:48:19.270466
Dogecoin,0.1602,2025-11-14 19:48:19.270466
Bitcoin,95348.29,2025-11-14 19:49:26.063293
Ethereum,3137.91,2025-11-14 19:49:26.063293
BNB,908.92,2025-11-14 19:49:26.063293
Solana,138.68,2025-11-14 19:49:26.063293
XRP,2.26,2025-11-14 19:49:26.063293
Dogecoin,0.1597,2025-11-14 19:49:26.063293
Bitcoin,95407.07,2025-11-14 19:50:32.994260
Ethereum,3137.91,2025-11-14 19:50:32.994260
BNB,908.92,2025-11-14 19:50:32.994260
Solana,138.68,2025-11-14 19:50:32.994260
XRP,2.26,2025-11-14 19:50:32.994260
Dogecoin,0.1597,2025-11-14 19:50:32.994260
Bitcoin,95416.17,2025-11-14 19:51:40.051212
Ethereum,3139.09,2025-11-14 19:51:40.051212
BNB,909.4,2025-11-14 19:51:40.051212
Solana,138.68,2025-11-14 19:51:40.051212
XRP,2.26,2025-11-14 19:51:40.051212
Dogecoin,0.1597,2025-11-14 19:51:40.051212
Bitcoin,95416.17,2025-11-14 19:52:48.538133
Ethereum,3139.09,2025-11-14 19:52:48.538133
BNB,909.4,2025-11-14 19:52:48.538133
Solana,138.68,2025-11-14 19:52:48.538133
XRP,2.26,2025-11-14 19:52:48.538133
Dogecoin,0.1597,2025-11-14 19:52:48.538133
Bitcoin,95552.71,2025-11-14 19:53:55.749429
Ethereum,3140.22,2025-11-14 19:53:55.749429
BNB,912.45,2025-11-14 19:53:55.749429
Solana,138.69,2025-11-14 19:53:55.749429
XRP,2.26,2025-11-14 19:53:55.749429
Dogecoin,0.1596,2025-11-14 19:53:55.749429
Bitcoin,95552.71,2025-11-14 19:55:03.971435
Ethereum,3140.22,2025-11-14 19:55:03.971435
BNB,912.45,2025-11-14 19:55:03.971435
Solana,138.69,2025-11-14 19:55:03.971435
XRP,2.26,2025-11-14 19:55:03.971435
Dogecoin,0.1596,2025-11-14 19:55:03.971435
Bitcoin,95552.71,2025-11-14 19:56:11.539371
Ethereum,3140.22,2025-11-14 19:56:11.539371
BNB,911.87,2025-11-14 19:56:11.539371
Solana,138.92,2025-11-14 19:56:11.539371
XRP,2.27,2025-11-14 19:56:11.539371
Dogecoin,0.1598,2025-11-14 19:56:11.539371
Bitcoin,95552.71,2025-11-14 19:57:19.246529
Ethereum,3140.22,2025-11-14 19:57:19.246529
BNB,911.87,2025-11-14 19:57:19.246529
Solana,138.92,2025-11-14 19:57:19.246529
XRP,2.27,2025-11-14 19:57:19.246529
Dogecoin,0.1598,2025-11-14 19:57:19.246529
Bitcoin,95566.68,2025-11-14 19:58:26.611937
Ethereum,3149.82,2025-11-14 19:58:26.611937
BNB,912.19,2025-11-14 19:58:26.611937
Solana,138.92,2025-11-14 19:58:26.611937
XRP,2.27,2025-11-14 19:58:26.611937
Dogecoin,0.1598,2025-11-14 19:58:26.611937
Bitcoin,95566.68,2025-11-14 19:59:34.299002
Ethereum,3157.47,2025-11-14 19:59:34.299002
BNB,912.33,2025-11-14 19:59:34.299002
Solana,138.83,2025-11-14 19:59:34.299002
XRP,2.26,2025-11-14 19:59:34.299002
Dogecoin,0.1596,2025-11-14 19:59:34.299002
Bitcoin,95640.53,2025-11-14 20:00:42.012037
Ethereum,3157.47,2025-11-14 20:00:42.012037
BNB,912.33,2025-11-14 20:00:42.012037
Solana,138.83,2025-11-14 20:00:42.012037
XRP,2.26,2025-11-14 20:00:42.012037
Dogecoin,0.1596,2025-11-14 20:00:42.012037
Bitcoin,95568.66,2025-11-14 20:01:49.383433
Ethereum,3150.55,2025-11-14 20:01:49.383433
BNB,912.64,2025-11-14 20:01:49.383433
Solana,138.83,2025-11-14 20:01:49.383433
XRP,2.26,2025-11-14 20:01:49.383433
Dogecoin,0.1596,2025-11-14 20:01:49.383433
Bitcoin,95568.66,2025-11-14 20:03:10.131555
Ethereum,3150.55,2025-11-14 20:03:10.131555
BNB,912.64,2025-11-14 20:03:10.131555
Solana,138.83,2025-11-14 20:03:10.131555
XRP,2.26,2025-11-14 20:03:10.131555
Dogecoin,0.1596,2025-11-14 20:03:10.131555
Bitcoin,95327.49,2025-11-14 20:04:25.605060
Ethereum,3132.83,2025-11-14 20:04:25.605060
BNB,912.65,2025-11-14 20:04:25.605060
Solana,138.95,2025-11-14 20:04:25.605060
XRP,2.26,2025-11-14 20:04:25.605060
Dogecoin,0.1595,2025-11-14 20:04:25.605060
Bitcoin,95327.49,2025-11-14 20:05:33.481209
Ethereum,3119.89,2025-11-14 20:05:33.481209
BNB,911.25,2025-11-14 20:05:33.481209
Solana,138.79,2025-11-14 20:05:33.481209
XRP,2.26,2025-11-14 20:05:33.481209
Dogecoin,0.1591,2025-11-14 20:05:33.481209
Bitcoin,95137.71,2025-11-14 20:06:49.303467
Ethereum,3119.89,2025-11-14 20:06:49.303467
BNB,911.25,2025-11-14 20:06:49.303467
Solana,138.79,2025-11-14 20:06:49.303467
XRP,2.26,2025-11-14 20:06:49.303467
Dogecoin,0.1591,2025-11-14 20:06:49.303467
Bitcoin,94984.26,2025-11-14 20:07:56.184254
Ethereum,3114.25,2025-11-14 20:07:56.184254
BNB,910.52,2025-11-14 20:07:56.184254
Solana,138.79,2025-11-14 20:07:56.184254
XRP,2.26,2025-11-14 20:07:56.184254
Dogecoin,0.1591,2025-11-14 20:07:56.184254
Bitcoin,94984.26,2025-11-14 20:09:03.671784
Ethereum,3114.25,2025-11-14 20:09:03.671784
BNB,910.52,2025-11-14 20:09:03.671784
Solana,138.79,2025-11-14 20:09:03.671784
XRP,2.26,2025-11-14 20:09:03.671784
Dogecoin,0.1591,2025-11-14 20:09:03.671784
Bitcoin,94984.26,2025-11-14 20:10:12.028373
Ethereum,3114.25,2025-11-14 20:10:12.028373
BNB,910.52,2025-11-14 20:10:12.028373
Solana,138.79,2025-11-14 20:10:12.028373
XRP,2.26,2025-11-14 20:10:12.028373
Dogecoin,0.1591,2025-11-14 20:10:12.028373
Bitcoin,94984.26,2025-11-14 20:11:18.584572
Ethereum,3114.25,2025-11-14 20:11:18.584572
BNB,910.52,2025-11-14 20:11:18.584572
Solana,138.79,2025-11-14 20:11:18.584572
XRP,2.26,2025-11-14 20:11:18.584572
Dogecoin,0.1591,2025-11-14 20:11:18.584572
Bitcoin,96062.34,2025-11-14 20:12:25.217769
Ethereum,3178.76,2025-11-14 20:12:25.217769
BNB,915.39,2025-11-14 20:12:25.217769
Solana,138.36,2025-11-14 20:12:25.217769
XRP,2.25,2025-11-14 20:12:25.217769
Dogecoin,0.1588,2025-11-14 20:12:25.217769
Bitcoin,96062.34,2025-11-14 20:13:31.928640
Ethereum,3178.76,2025-11-14 20:13:31.928640
BNB,915.39,2025-11-14 20:13:31.928640
Solana,138.36,2025-11-14 20:13:31.928640
XRP,2.25,2025-11-14 20:13:31.928640
Dogecoin,0.1603,2025-11-14 20:13:31.928640
Bitcoin,94987.3,2025-11-16 07:20:05.004439
Ethereum,3141.65,2025-11-16 07:20:05.004439
BNB,923.83,2025-11-16 07:20:05.004439
Solana,137.92,2025-11-16 07:20:05.004439
XRP,2.2,2025-11-16 07:20:05.004439
Dogecoin,0.1606,2025-11-16 07:20:05.004439
Bitcoin,95003.89,2025-11-16 07:21:10.187242
Ethereum,3141.65,2025-11-16 07:21:10.187242
BNB,923.83,2025-11-16 07:21:10.187242
Solana,137.92,2025-11-16 07:21:10.187242
XRP,2.2,2025-11-16 07:21:10.187242
Dogecoin,0.1606,2025-11-16 07:21:10.187242
Bitcoin,94884.13,2025-11-16 07:22:20.065928
Ethereum,3135.34,2025-11-16 07:22:20.065928
BNB,923.32,2025-11-16 07:22:20.065928
Solana,137.92,2025-11-16 07:22:20.065928
XRP,2.2,2025-11-16 07:22:20.065928
Dogecoin,0.1606,2025-11-16 07:22:20.065928
Bitcoin,94884.13,2025-11-16 07:23:26.313051
Ethereum,3135.34,2025-11-16 07:23:26.313051
BNB,923.32,2025-11-16 07:23:26.313051
Solana,137.92,2025-11-16 07:23:26.313051
XRP,2.2,2025-11-16 07:23:26.313051
Dogecoin,0.1606,2025-11-16 07:23:26.313051
Bitcoin,94930.75,2025-11-16 07:24:30.671788
Ethereum,3137.84,2025-11-16 07:24:30.671788
BNB,923.23,2025-11-16 07:24:30.671788
Solana,137.78,2025-11-16 07:24:30.671788
XRP,2.19,2025-11-16 07:24:30.671788
Dogecoin,0.1605,2025-11-16 07:24:30.671788
Bitcoin,94930.75,2025-11-16 07:25:37.228143
Ethereum,3137.84,2025-11-16 07:25:37.228143
BNB,923.23,2025-11-16 07:25:37.228143
Solana,137.78,2025-11-16 07:25:37.228143
XRP,2.19,2025-11-16 07:25:37.228143
Dogecoin,0.1605,2025-11-16 07:25:37.228143
Bitcoin,95188.52,2025-11-16 07:26:46.014352
Ethereum,3145.82,2025-11-16 07:26:46.014352
BNB,925.62,2025-11-16 07:26:46.014352
Solana,137.91,2025-11-16 07:26:46.014352
XRP,2.19,2025-11-16 07:26:46.014352
Dogecoin,0.1604,2025-11-16 07:26:46.014352
Bitcoin,95188.52,2025-11-16 07:27:51.983305
Ethereum,3145.82,2025-11-16 07:27:51.983305
BNB,925.62,2025-11-16 07:27:51.983305
Solana,137.91,2025-11-16 07:27:51.983305
XRP,2.19,2025-11-16 07:27:51.983305
Dogecoin,0.1604,2025-11-16 07:27:51.983305
Bitcoin,95198.8,2025-11-16 07:28:58.708474
Ethereum,3144.95,2025-11-16 07:28:58.708474
BNB,926.76,2025-11-16 07:28:58.708474
Solana,138.22,2025-11-16 07:28:58.708474
XRP,2.2,2025-11-16 07:28:58.708474
Dogecoin,0.1607,2025-11-16 07:28:58.708474
Bitcoin,95198.8,2025-11-16 07:30:03.454874
Ethereum,3144.95,2025-11-16 07:30:03.454874
BNB,926.76,2025-11-16 07:30:03.454874
Solana,138.22,2025-11-16 07:30:03.454874
XRP,2.2,2025-11-16 07:30:03.454874
Dogecoin,0.1607,2025-11-16 07:30:03.454874
Bitcoin,95233.01,2025-11-16 07:31:08.564873
Ethereum,3146.47,2025-11-16 07:31:08.564873
BNB,927.32,2025-11-16 07:31:08.564873
Solana,138.22,2025-11-16 07:31:08.564873
XRP,2.2,2025-11-16 07:31:08.564873
Dogecoin,0.1607,2025-11-16 07:31:08.564873
Bitcoin,95281.59,2025-11-16 07:32:25.344140
Ethereum,3149.47,2025-11-16 07:32:25.344140
BNB,927.32,2025-11-16 07:32:25.344140
Solana,138.22,2025-11-16 07:32:25.344140
XRP,2.2,2025-11-16 07:32:25.344140
Dogecoin,0.1607,2025-11-16 07:32:25.344140
Bitcoin,95281.59,2025-11-16 07:33:32.720810
Ethereum,3149.47,2025-11-16 07:33:32.720810
BNB,927.32,2025-11-16 07:33:32.720810
Solana,138.22,2025-11-16 07:33:32.720810
XRP,2.2,2025-11-16 07:33:32.720810
Dogecoin,0.1607,2025-11-16 07:33:32.720810
Bitcoin,95281.59,2025-11-16 07:34:37.672714
Ethereum,3149.82,2025-11-16 07:34:37.672714
BNB,927.25,2025-11-16 07:34:37.672714
Solana,138.51,2025-11-16 07:34:37.672714
XRP,2.2,2025-11-16 07:34:37.672714
Dogecoin,0.1613,2025-11-16 07:34:37.672714
Bitcoin,95276.73,2025-11-16 07:35:44.568608
Ethereum,3149.82,2025-11-16 07:35:44.568608
BNB,927.25,2025-11-16 07:35:44.568608
Solana,138.51,2025-11-16 07:35:44.568608
XRP,2.2,2025-11-16 07:35:44.568608
Dogecoin,0.1613,2025-11-16 07:35:44.568608
Bitcoin,95237.98,2025-11-16 07:36:49.784050
Ethereum,3148.39,2025-11-16 07:36:49.784050
BNB,927.28,2025-11-16 07:36:49.784050
Solana,138.65,2025-11-16 07:36:49.784050
XRP,2.21,2025-11-16 07:36:49.784050
Dogecoin,0.1615,2025-11-16 07:36:49.784050
Bitcoin,95237.98,2025-11-16 07:37:56.661882
Ethereum,3148.39,2025-11-16 07:37:56.661882
BNB,927.28,2025-11-16 07:37:56.661882
Solana,138.65,2025-11-16 07:37:56.661882
XRP,2.21,2025-11-16 07:37:56.661882
Dogecoin,0.1615,2025-11-16 07:37:56.661882
Bitcoin,95154.71,2025-11-16 07:39:03.002069
Ethereum,3145.72,2025-11-16 07:39:03.002069
BNB,926.6,2025-11-16 07:39:03.002069
Solana,138.6,2025-11-16 07:39:03.002069
XRP,2.2,2025-11-16 07:39:03.002069
Dogecoin,0.1615,2025-11-16 07:39:03.002069
Bitcoin,95154.71,2025-11-16 07:40:09.911679
Ethereum,3145.72,2025-11-16 07:40:09.911679
BNB,926.6,2025-11-16 07:40:09.911679
Solana,138.6,2025-11-16 07:40:09.911679
XRP,2.2,2025-11-16 07:40:09.911679
Dogecoin,0.1615,2025-11-16 07:40:09.911679
Bitcoin,95115.13,2025-11-16 07:41:16.852511
Ethereum,3144.06,2025-11-16 07:41:16.852511
BNB,926.41,2025-11-16 07:41:16.852511
Solana,138.6,2025-11-16 07:41:16.852511
XRP,2.2,2025-11-16 07:41:16.852511
Dogecoin,0.1615,2025-11-16 07:41:16.852511
Bitcoin,95115.13,2025-11-16 07:42:22.011303
Ethereum,3144.06,2025-11-16 07:42:22.011303
BNB,926.41,2025-11-16 07:42:22.011303
Solana,138.6,2025-11-16 07:42:22.011303
XRP,2.2,2025-11-16 07:42:22.011303
Dogecoin,0.1615,2025-11-16 07:42:22.011303
Bitcoin,95896.4,2025-11-16 12:25:53.020497
Ethereum,3208.36,2025-11-16 12:25:53.020497
BNB,944.78,2025-11-16 12:25:53.020497
Solana,141.95,2025-11-16 12:25:53.020497
XRP,2.26,2025-11-16 12:25:53.020497
Dogecoin,0.1635,2025-11-16 12:25:53.020497
Bitcoin,95896.4,2025-11-16 12:26:57.779430
Ethereum,3208.36,2025-11-16 12:26:57.779430
BNB,944.78,2025-11-16 12:26:57.779430
Solana,141.95,2025-11-16 12:26:57.779430
XRP,2.26,2025-11-16 12:26:57.779430
Dogecoin,0.1635,2025-11-16 12:26:57.779430
Bitcoin,95889.71,2025-11-16 12:28:05.051906
Ethereum,3208.24,2025-11-16 12:28:05.051906
BNB,944.7,2025-11-16 12:28:05.051906
Solana,141.99,2025-11-16 12:28:05.051906
XRP,2.26,2025-11-16 12:28:05.051906
Dogecoin,0.1635,2025-11-16 12:28:05.051906
Bitcoin,95889.71,2025-11-16 12:29:10.925389
Ethereum,3208.24,2025-11-16 12:29:10.925389
BNB,944.7,2025-11-16 12:29:10.925389
Solana,141.99,2025-11-16 12:29:10.925389
XRP,2.26,2025-11-16 12:29:10.925389
Dogecoin,0.1635,2025-11-16 12:29:10.925389
Bitcoin,95889.71,2025-11-16 12:30:18.449418
Ethereum,3202.53,2025-11-16 12:30:18.449418
BNB,944.66,2025-11-16 12:30:18.449418
Solana,141.99,2025-11-16 12:30:18.449418
XRP,2.26,2025-11-16 12:30:18.449418
Dogecoin,0.1635,2025-11-16 12:30:18.449418
Bitcoin,95770.78,2025-11-16 12:31:24.517040
Ethereum,3202.53,2025-11-16 12:31:24.517040
BNB,944.66,2025-11-16 12:31:24.517040
Solana,141.99,2025-11-16 12:31:24.517040
XRP,2.26,2025-11-16 12:31:24.517040
Dogecoin,0.1635,2025-11-16 12:31:24.517040
Bitcoin,95723.97,2025-11-16 12:32:55.265488
Ethereum,3199.11,2025-11-16 12:32:55.265488
BNB,943.31,2025-11-16 12:32:55.265488
Solana,141.95,2025-11-16 12:32:55.265488
XRP,2.26,2025-11-16 12:32:55.265488
Dogecoin,0.1635,2025-11-16 12:32:55.265488
Bitcoin,95738.13,2025-11-16 12:34:16.391106
Ethereum,3198.45,2025-11-16 12:34:16.391106
BNB,943.08,2025-11-16 12:34:16.391106
Solana,141.95,2025-11-16 12:34:16.391106
XRP,2.26,2025-11-16 12:34:16.391106
Dogecoin,0.1635,2025-11-16 12:34:16.391106
Bitcoin,95738.13,2025-11-16 12:35:25.208819
Ethereum,3198.45,2025-11-16 12:35:25.208819
BNB,943.08,2025-11-16 12:35:25.208819
Solana,141.95,2025-11-16 12:35:25.208819
XRP,2.26,2025-11-16 12:35:25.208819
Dogecoin,0.1635,2025-11-16 12:35:25.208819
Bitcoin,95779.58,2025-11-16 12:36:33.939418
Ethereum,3201.1,2025-11-16 12:36:33.939418
BNB,942.82,2025-11-16 12:36:33.939418
Solana,141.65,2025-11-16 12:36:33.939418
XRP,2.26,2025-11-16 12:36:33.939418
Dogecoin,0.1631,2025-11-16 12:36:33.939418
Bitcoin,95779.58,2025-11-16 12:37:41.082450
Ethereum,3201.1,2025-11-16 12:37:41.082450
BNB,942.82,2025-11-16 12:37:41.082450
Solana,141.65,2025-11-16 12:37:41.082450
XRP,2.26,2025-11-16 12:37:41.082450
Dogecoin,0.1631,2025-11-16 12:37:41.082450
Bitcoin,95976.85,2025-11-16 16:54:50.000825
Ethereum,3200.02,2025-11-16 16:54:50.000825
BNB,943.02,2025-11-16 16:54:50.000825
Solana,142.19,2025-11-16 16:54:50.000825
XRP,2.26,2025-11-16 16:54:50.000825
Dogecoin,0.1636,2025-11-16 16:54:50.000825
Bitcoin,95976.85,2025-11-16 16:55:20.933799
Ethereum,3200.02,2025-11-16 16:55:20.933799
BNB,943.13,2025-11-16 16:55:20.933799
Solana,142.19,2025-11-16 16:55:20.933799
XRP,2.26,2025-11-16 16:55:20.933799
Dogecoin,0.1636,2025-11-16 16:55:20.933799
Bitcoin,95976.85,2025-11-16 16:56:25.689054
Ethereum,3200.02,2025-11-16 16:56:25.689054
BNB,943.13,2025-11-16 16:56:25.689054
Solana,142.19,2025-11-16 16:56:25.689054
XRP,2.26,2025-11-16 16:56:25.689054
Dogecoin,0.1636,2025-11-16 16:56:25.689054
Bitcoin,95769.32,2025-11-16 16:57:30.126102
Ethereum,3184.03,2025-11-16 16:57:30.126102
BNB,941.66,2025-11-16 16:57:30.126102
Solana,142.14,2025-11-16 16:57:30.126102
XRP,2.26,2025-11-16 16:57:30.126102
Dogecoin,0.1636,2025-11-16 16:57:30.126102
Bitcoin,95769.32,2025-11-16 16:58:34.956206
Ethereum,3184.03,2025-11-16 16:58:34.956206
BNB,941.66,2025-11-16 16:58:34.956206
Solana,142.14,2025-11-16 16:58:34.956206
XRP,2.26,2025-11-16 16:58:34.956206
Dogecoin,0.1636,2025-11-16 16:58:34.956206
Bitcoin,95701.08,2025-11-16 16:59:39.422112
Ethereum,3177.16,2025-11-16 16:59:39.422112
BNB,940.09,2025-11-16 16:59:39.422112
Solana,142.14,2025-11-16 16:59:39.422112
XRP,2.26,2025-11-16 16:59:39.422112
Dogecoin,0.1636,2025-11-16 16:59:39.422112
Bitcoin,95701.08,2025-11-16 17:00:46.488857
Ethereum,3177.16,2025-11-16 17:00:46.488857
BNB,940.09,2025-11-16 17:00:46.488857
Solana,142.14,2025-11-16 17:00:46.488857
XRP,2.26,2025-11-16 17:00:46.488857
Dogecoin,0.1636,2025-11-16 17:00:46.488857
Bitcoin,95652.93,2025-11-16 17:01:53.065221
Ethereum,3174.71,2025-11-16 17:01:53.065221
BNB,939.41,2025-11-16 17:01:53.065221
Solana,141.49,2025-11-16 17:01:53.065221
XRP,2.25,2025-11-16 17:01:53.065221
Dogecoin,0.1628,2025-11-16 17:01:53.065221
Bitcoin,95652.93,2025-11-16 17:02:59.748304
Ethereum,3170.04,2025-11-16 17:02:59.748304
BNB,939.43,2025-11-16 17:02:59.748304
Solana,141.49,2025-11-16 17:02:59.748304
XRP,2.25,2025-11-16 17:02:59.748304
Dogecoin,0.1628,2025-11-16 17:02:59.748304
Bitcoin,95564.8,2025-11-16 17:04:06.404430
Ethereum,3170.04,2025-11-16 17:04:06.404430
BNB,939.43,2025-11-16 17:04:06.404430
Solana,141.49,2025-11-16 17:04:06.404430
XRP,2.25,2025-11-16 17:04:06.404430
Dogecoin,0.1628,2025-11-16 17:04:06.404430
Bitcoin,95572.9,2025-11-16 17:05:13.205158
Ethereum,3174.27,2025-11-16 17:05:13.205158
BNB,939.29,2025-11-16 17:05:13.205158
Solana,141.04,2025-11-16 17:05:13.205158
XRP,2.25,2025-11-16 17:05:13.205158
Dogecoin,0.1627,2025-11-16 17:05:13.205158
Bitcoin,95572.9,2025-11-16 17:06:19.895755
Ethereum,3174.27,2025-11-16 17:06:19.895755
BNB,939.29,2025-11-16 17:06:19.895755
Solana,141.04,2025-11-16 17:06:19.895755
XRP,2.25,2025-11-16 17:06:19.895755
Dogecoin,0.1627,2025-11-16 17:06:19.895755
Bitcoin,95602.94,2025-11-16 17:07:26.580028
Ethereum,3171.0,2025-11-16 17:07:26.580028
BNB,939.31,2025-11-16 17:07:26.580028
Solana,141.04,2025-11-16 17:07:26.580028
XRP,2.25,2025-11-16 17:07:26.580028
Dogecoin,0.1627,2025-11-16 17:07:26.580028
Bitcoin,95602.94,2025-11-16 17:08:33.457994
Ethereum,3171.0,2025-11-16 17:08:33.457994
BNB,939.31,2025-11-16 17:08:33.457994
Solana,141.04,2025-11-16 17:08:33.457994
XRP,2.25,2025-11-16 17:08:33.457994
Dogecoin,0.1627,2025-11-16 17:08:33.457994
Bitcoin,95602.94,2025-11-16 17:09:40.848405
Ethereum,3171.0,2025-11-16 17:09:40.848405
BNB,937.99,2025-11-16 17:09:40.848405
Solana,141.06,2025-11-16 17:09:40.848405
XRP,2.24,2025-11-16 17:09:40.848405
Dogecoin,0.1626,2025-11-16 17:09:40.848405
Bitcoin,95602.94,2025-11-16 17:10:48.107952
Ethereum,3171.0,2025-11-16 17:10:48.107952
BNB,937.99,2025-11-16 17:10:48.107952
Solana,141.06,2025-11-16 17:10:48.107952
XRP,2.24,2025-11-16 17:10:48.107952
Dogecoin,0.1626,2025-11-16 17:10:48.107952
Bitcoin,95663.25,2025-11-16 17:11:55.104906
Ethereum,3173.8,2025-11-16 17:11:55.104906
BNB,937.74,2025-11-16 17:11:55.104906
Solana,141.06,2025-11-16 17:11:55.104906
XRP,2.24,2025-11-16 17:11:55.104906
Dogecoin,0.1626,2025-11-16 17:11:55.104906
Bitcoin,95663.25,2025-11-16 17:13:02.365299
Ethereum,3173.8,2025-11-16 17:13:02.365299
BNB,937.74,2025-11-16 17:13:02.365299
Solana,141.06,2025-11-16 17:13:02.365299
XRP,2.24,2025-11-16 17:13:02.365299
Dogecoin,0.1626,2025-11-16 17:13:02.365299
Bitcoin,95612.57,2025-11-16 17:14:09.169894
Ethereum,3172.41,2025-11-16 17:14:09.169894
BNB,937.74,2025-11-16 17:14:09.169894
Solana,140.87,2025-11-16 17:14:09.169894
XRP,2.24,2025-11-16 17:14:09.169894
Dogecoin,0.1625,2025-11-16 17:14:09.169894
Bitcoin,95563.31,2025-11-16 17:15:16.188055
Ethereum,3163.97,2025-11-16 17:15:16.188055
BNB,935.54,2025-11-16 17:15:16.188055
Solana,140.75,2025-11-16 17:15:16.188055
XRP,2.24,2025-11-16 17:15:16.188055
Dogecoin,0.1624,2025-11-16 17:15:16.188055
Bitcoin,95563.31,2025-11-16 17:16:22.893631
Ethereum,3163.97,2025-11-16 17:16:22.893631
BNB,935.54,2025-11-16 17:16:22.893631
Solana,140.75,2025-11-16 17:16:22.893631
XRP,2.24,2025-11-16 17:16:22.893631
Dogecoin,0.1624,2025-11-16 17:16:22.893631
Bitcoin,95542.77,2025-11-16 17:17:29.905166
Ethereum,3162.38,2025-11-16 17:17:29.905166
BNB,934.24,2025-11-16 17:17:29.905166
Solana,140.75,2025-11-16 17:17:29.905166
XRP,2.24,2025-11-16 17:17:29.905166
Dogecoin,0.1624,2025-11-16 17:17:29.905166
Bitcoin,95542.77,2025-11-16 17:18:36.994680
Ethereum,3162.38,2025-11-16 17:18:36.994680
BNB,934.24,2025-11-16 17:18:36.994680
Solana,140.75,2025-11-16 17:18:36.994680
XRP,2.24,2025-11-16 17:18:36.994680
Dogecoin,0.1624,2025-11-16 17:18:36.994680
Bitcoin,95542.77,2025-11-16 17:19:43.731187
Ethereum,3164.93,2025-11-16 17:19:43.731187
BNB,934.0,2025-11-16 17:19:43.731187
Solana,140.06,2025-11-16 17:19:43.731187
XRP,2.23,2025-11-16 17:19:43.731187
Dogecoin,0.1615,2025-11-16 17:19:43.731187
Bitcoin,95552.45,2025-11-16 17:20:51.178498
Ethereum,3164.93,2025-11-16 17:20:51.178498
BNB,934.0,2025-11-16 17:20:51.178498
Solana,140.06,2025-11-16 17:20:51.178498
XRP,2.23,2025-11-16 17:20:51.178498
Dogecoin,0.1615,2025-11-16 17:20:51.178498
Bitcoin,95596.38,2025-11-16 17:21:59.363799
